code,name,city,country,lat,lon
ATL,Hartsfield-Jackson Atlanta International,Atlanta,US,33.6407,-84.4277
PEK,Beijing Capital International,Beijing,CN,40.0801,116.5846
DXB,Dubai International,Dubai,AE,25.2528,55.3644
LAX,Los Angeles International,Los Angeles,US,33.9425,-118.4081
HND,Tokyo Haneda,Tokyo,JP,35.5494,139.7798
ORD,O'Hare International,Chicago,US,41.9742,-87.9073
LHR,London Heathrow,London,GB,51.47,-0.4543
PVG,Shanghai Pudong International,Shanghai,CN,31.1443,121.8083
CDG,Paris Charles de Gaulle,Paris,FR,49.0097,2.5479
DFW,Dallas/Fort Worth International,Dallas,US,32.8998,-97.0403
CAN,Guangzhou Baiyun International,Guangzhou,CN,23.3924,113.2988
AMS,Amsterdam Schiphol,Amsterdam,NL,52.3105,4.7683
FRA,Frankfurt Airport,Frankfurt,DE,50.0379,8.5622
IST,Istanbul Airport,Istanbul,TR,41.2753,28.7519
SIN,Singapore Changi,Singapore,SG,1.3644,103.9915
ICN,Incheon International,Seoul,KR,37.4602,126.4407
DEN,Denver International,Denver,US,39.8561,-104.6737
BKK,Suvarnabhumi Airport,Bangkok,TH,13.69,100.7501
JFK,John F. Kennedy International,New York,US,40.6413,-73.7781
HKG,Hong Kong International,Hong Kong,HK,22.308,113.9185
KUL,Kuala Lumpur International,Kuala Lumpur,MY,2.7456,101.7099
MAD,Adolfo Suárez Madrid–Barajas,Madrid,ES,40.4983,-3.5676
SFO,San Francisco International,San Francisco,US,37.6213,-122.379
MIA,Miami International,Miami,US,25.7959,-80.287
SYD,Sydney Kingsford Smith,Sydney,AU,-33.9399,151.1753
MUC,Munich Airport,Munich,DE,48.3537,11.775
BCN,Barcelona–El Prat,Barcelona,ES,41.2974,2.0833
YYZ,Toronto Pearson International,Toronto,CA,43.6777,-79.6248
MEX,Mexico City International,Mexico City,MX,19.4361,-99.0719
NRT,Narita International,Tokyo,JP,35.772,140.3929
